product_id,sku,name,category,description,currency,unit_price,stock_availability,unit_of_measure,status,created_at,updated_at
SWP-31501173,SW-2D-SIGN-19035-299,QUICKSIGN 2D Sign – 2D001 Fire Extinguisher,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d001-fire-extinguisher/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,19.14,102,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-44761647,SW-2D-SIGN-19070-610,QUICKSIGN 2D Sign – 2D002 Fire Hose Reel,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d002-fire-hose-reel/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,44.74,371,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-36563513,SW-2D-SIGN-19091-607,QUICKSIGN 2D Sign – 2D003 Fire Alarm,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d003-fire-alarm/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,41.92,56,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-13346942,SW-2D-SIGN-26373-989,QUICKSIGN 2D Sign – 2D004 Emergency Telephone,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d004-emergency-telephone/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,43.07,266,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-46318126,SW-2D-SIGN-26352-726,QUICKSIGN 2D Sign – 2D005 CO2 Fire Extinguisher,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d005-co2-fire-extinguisher/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,39.14,338,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-95185137,SW-2D-SIGN-26331-289,QUICKSIGN 2D Sign – 2D006 Fire Extinguisher (Arrow Down),2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d006-fire-extinguisher-arrow-down/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,35.02,344,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-57962565,SW-2D-SIGN-26237-483,QUICKSIGN 2D Sign – 2D007 Fire Extinguisher,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d007-fire-extinguisher/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,43.85,193,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-50964512,SW-2D-SIGN-26268-422,QUICKSIGN 2D Sign – 2D008 Fire Hose Reel,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d008-fire-hose-reel/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,18.10,369,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-15293792,SW-2D-SIGN-26289-443,QUICKSIGN 2D Sign – 2D009 Fire Alarm,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d009-fire-alarm/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,49.08,134,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
SWP-71503007,SW-2D-SIGN-26310-575,QUICKSIGN 2D Sign – 2D010 In case of fire break glass,2D Sign,Safetyware catalog item from category '2D Sign'. Source: https://safetyware.com/product/quicksign-2d-sign-2d010-in-case-of-fire-break-glass/. Public catalog price was unavailable; unit_price is an estimated average for similar products in this category.,RM,48.93,77,pack,active,2026-06-15T13:25:21.657742+00:00,2026-06-15T13:25:21.657742+00:00
